Name,City,Specialization,Hospital,description 
Prof. Dr. Syed Shamsuddin,QUETTA,Dermatologist,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",Dermatologist
Dr. Jaffar Ali,QUETTA,Dermatologist,"Quetta Hospital, Quetta City, Quetta",Dermatologist
Asst. Prof. Dr. Syed Bilal Shams,QUETTA,"Dermatologist, Cosmetic Surgeon","Skin Center Dermatologist Dr. Syed Bilal Ahmed Shams Clinic, Quetta City, Quetta","Dermatologist, Cosmetic Surgeon"
Asst. Prof. Dr. Surjeet Kumar,QUETTA,Dermatologist,"Doctors Hospital, Quetta City, Quetta",Dermatologist
Dr. Palwasha Jalil,QUETTA,Dermatologist,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Dermatologist
Dr. Faiza Gul,QUETTA,Dermatologist,"Heart And General Hospital, Model Town, Quetta",Dermatologist
Dr. Obed Ullah,QUETTA,Dermatologist,"City International Hospital, Zarghon Road, Quetta",Dermatologist
Dr. Saifullah Kakar,QUETTA,Dermatologist,"City International Hospital, Zarghon Road, Quetta",Dermatologist
Dr. Mushtaq Ahmed,QUETTA,"Dermatologist, Dermatologist, Allergy Specialist","Saleem Medical Complex Hospital, Quetta City, Quetta","Dermatologist, Dermatologist, Allergy Specialist"
Dr. Shakil Ashraf,QUETTA,Dermatologist,"Hammad Skin Laser and Hair transplant Clinic, Quetta, Quetta",Dermatologist
Dr. Faisal Baloch,QUETTA,"General Physician, Dermatologist, Aesthetic Physician","International Medical Center, Quetta City, Quetta","General Physician, Dermatologist, Aesthetic Physician"
Asst. Prof. Dr. Seemab Khan,QUETTA,Dermatologist,"Fc Hospital, Cantt, Quetta",Dermatologist
Prof. Dr. Muhammad Saleem Barech,QUETTA,Neurologist,"Akram Hospital, Quetta City, Quetta",Neurologist
Dr. Anjum Farooq,QUETTA,Neurologist,"Mid Town Hospital, purana pashin adda, Quetta",Neurologist
Assoc. Prof. Dr. Zainullah Khan Kakar,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","Sajid Hospital, Quetta City, Quetta","Neuro Psychiatrist, Psychiatrist, Neurologist"
Asst. Prof. Dr. Muhammad Ilyas,QUETTA,"Neuro Psychiatrist, Psychiatrist, Neurologist","Aria Institute Of Medical And Health Sciences, Quetta City, Quetta","Neuro Psychiatrist, Psychiatrist, Neurologist"
Dr. Ahmed Wali,QUETTA,Neurologist,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Neurologist
Dr. Ihsan Ul Haq Zarkoon,QUETTA,Neurologist,"City International Hospital, Zarghon Road, Quetta",Neurologist
Prof. Dr. Noor Ahmed Khosa,QUETTA,Neurologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Neurologist
Dr. Naveed Javed,QUETTA,"Psychiatrist, Neurologist","National Diagnostic Center., Suraj Miani Road, Multan","Psychiatrist, Neurologist"
Dr. Jahanzeb Kakar,QUETTA,"Neuro Surgeon, Neurologist","Akram Hospital, Quetta City, Quetta","Neuro Surgeon, Neurologist"
Asst. Prof. Dr. Alamzeb Khan,QUETTA,"Neuro Surgeon, Neurologist","City International Hospital, Zarghon Road, Quetta","Neuro Surgeon, Neurologist"
Dr. Ainullah,QUETTA,Neurologist,"Rahman Medical Center, Jinnah Road Quetta, Quetta",Neurologist
Dr. Nasrullah Langove,QUETTA,"Neuro Surgeon, Neurologist","Gillani Hopsital, Satellite Town, Quetta","Neuro Surgeon, Neurologist"
Prof. Dr. Aisha Siddiqa,QUETTA,Gynecologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gynecologist
Prof. Dr. Uzma Sohail,QUETTA,"Gynecologist, Gynecologist","Akram Hospital, Quetta City, Quetta","Gynecologist, Gynecologist"
Prof. Dr. Rohana Salam,QUETTA,Gynecologist,"City International Hospital, Zarghon Road, Quetta",Gynecologist
Prof. Dr. Najma Ghaffar,QUETTA,"Gynecologist, Radiologist","Dng Hospital, Quetta City, Quetta","Gynecologist, Radiologist"
Dr. Zaib Un Nisa Jogazai,QUETTA,Gynecologist,"Al Shafa Hospital, Quetta City, Quetta",Gynecologist
Dr. Rukhsana,QUETTA,Gynecologist,"City International Hospital, Zarghon Road, Quetta",Gynecologist
Dr. Nabila Naz,QUETTA,Gynecologist,"Rahat Medical Complex, Quetta City, Quetta",Gynecologist
Dr. Rizwana Naz,QUETTA,Gynecologist,"Heart And General Hospital, Model Town, Quetta",Gynecologist
Dr. Kalsoom Noor,QUETTA,Gynecologist,"Yaseen Hospital, Quetta City, Quetta",Gynecologist
Dr. Bareera Sadaf,QUETTA,Gynecologist,"Doctors Hospital, Quetta City, Quetta",Gynecologist
Dr. Salma Khudaidad,QUETTA,Gynecologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gynecologist
Dr. Zargai Kakar,QUETTA,Gynecologist,"Gillani Hopsital, Satellite Town, Quetta",Gynecologist
Dr. Naimat Ullah Tareen,QUETTA,"Urologist, Sexologist","City International Hospital, Zarghon Road, Quetta","Urologist, Sexologist"
Dr. Asad Tareen,QUETTA,Urologist,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",Urologist
Asst. Prof. Dr. Hayat Kakar,QUETTA,Urologist,"Rahat Medical Complex, Quetta City, Quetta",Urologist
Asst. Prof. Dr. Shoukat Ali,QUETTA,Urologist,"Yaseen Hospital, Quetta City, Quetta",Urologist
Dr. Ahmed Ullah,QUETTA,Urologist,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",Urologist
Dr. Rashid Ali Baloch,QUETTA,"Endourologist, Urologist","Al-Khair Medical Complex Hospital, Quetta City, Quetta","Endourologist, Urologist"
Dr. Hafeez Ullah,QUETTA,Urologist,"Jilani Hospital, Satellite Town, Quetta",Urologist
Dr. Muhammad Anwar Jan,QUETTA,Urologist,"Al Qadir Hospital, Quetta City, Quetta",Urologist
Assoc. Prof. Dr. Masha Khan,QUETTA,Urologist,"Akram Hospital, Quetta City, Quetta",Urologist
Asst. Prof. Dr. Muhammad Musa Kakar,QUETTA,Urologist,"Rahat Medical Complex, Quetta City, Quetta",Urologist
Dr. Hidayatullah Mandokhail,QUETTA,Urologist,"Jilani Hospital, Satellite Town, Quetta",Urologist
Dr. Jamil Kakar,QUETTA,Urologist,"Heart And General Hospital, Model Town, Quetta",Urologist
Asst. Prof. Dr. M Hussain Baloch,QUETTA,Gastroenterologist,"Gillani Hopsital, Satellite Town, Quetta",Gastroenterologist
Dr. Muhammad Farooq Zarkoon,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Essa Khan Achakzai,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Niaz Muhammad,QUETTA,Gastroenterologist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Khalid Tareen,QUETTA,Gastroenterologist,"Mid East Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Muhammad Naseer,QUETTA,Gastroenterologist,"Akram Hospital, Quetta City, Quetta",Gastroenterologist
Assoc. Prof. Dr. Muhammad Usman Tareen,QUETTA,Gastroenterologist,"Doctors Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Masood Tareen,QUETTA,Gastroenterologist,"Yaseen Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Ameer Bakhsh Langove,QUETTA,Gastroenterologist,"City International Hospital, Zarghon Road, Quetta",Gastroenterologist
Dr. Abdul Latif,QUETTA,Gastroenterologist,"Doctors Hospital, Quetta City, Quetta",Gastroenterologist
Dr. Inayatullah Khan Kakar,QUETTA,"Gastroenterologist, Hepatologist","Yaseen Hospital, Quetta City, Quetta","Gastroenterologist, Hepatologist"
Dr. Inam Ullah Khan,QUETTA,"Gastroenterologist, Hepatologist","Rahat Medical Complex, Quetta City, Quetta","Gastroenterologist, Hepatologist"
Asst. Prof. Dr. Nasir Azim Kakar,QUETTA,"Pulmonologist / Lung Specialist, Internal Medicine Specialist","Doctors Hospital, Quetta City, Quetta","Pulmonologist / Lung Specialist, Internal Medicine Specialist"
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","Yaseen Hospital, Quetta City, Quetta","Pulmonologist / Lung Specialist, General Physician, Allergy Specialist"
Dr. Ishfaq Ahmed,QUETTA,Pulmonologist / Lung Specialist,"City International Hospital, Zarghon Road, Quetta",Pulmonologist / Lung Specialist
Dr. Sohail Mushtaq,QUETTA,Pulmonologist / Lung Specialist,"Shoaib Medical Store, Baldia Town, Quetta",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Abdul Baqi Achakzai,QUETTA,Pulmonologist / Lung Specialist,"Jilani Hospital, Satellite Town, Quetta",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Syed Aman Ullah Shah,QUETTA,Pulmonologist / Lung Specialist,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",Pulmonologist / Lung Specialist
Dr. Ali Ahmed Reki,QUETTA,Pulmonologist / Lung Specialist,"Saleem Medical Complex Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Muhammad Yaseen,QUETTA,Pulmonologist / Lung Specialist,"Gillani Hopsital, Satellite Town, Quetta",Pulmonologist / Lung Specialist
Dr. Iftikhar Ali Kakar,QUETTA,Pulmonologist / Lung Specialist,"Fc Hospital, Cantt, Quetta",Pulmonologist / Lung Specialist
Dr. Abdul Haseeb Kakar,QUETTA,Pulmonologist / Lung Specialist,"Al Qadir Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Maqsood Ahmed,QUETTA,Pulmonologist / Lung Specialist,"Al Shafi Hospital, Quetta City, Quetta",Pulmonologist / Lung Specialist
Dr. Raheemuddin,QUETTA,"Pulmonologist / Lung Specialist, Allergy Specialist","Sangeen Khan Hospital, Killi Shaboo, Quetta","Pulmonologist / Lung Specialist, Allergy Specialist"
Dr. Attiq Ur Rehman,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","City International Hospital, Zarghon Road, Quetta","Orthopedic Surgeon, Spinal Surgeon"
Assoc. Prof. Dr. Lal Muhammad Khan Kakar,QUETTA,"Orthopedic Surgeon, Spinal Surgeon","National Hospital, Near Quetta Laboratory Prince Road, Quetta","Orthopedic Surgeon, Spinal Surgeon"
Asst. Prof. Dr. Ahmed Abdul Habib,QUETTA,Orthopedic Surgeon,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Orthopedic Surgeon
Dr. Ahmer Ali,QUETTA,Orthopedic Surgeon,"Al Shafi Hospital, Quetta City, Quetta",Orthopedic Surgeon
Dr. Muhammad Saleem Qureshi,QUETTA,Orthopedic Surgeon,"Rehan Hospital, Quetta City, Quetta",Orthopedic Surgeon
Asst. Prof. Dr. Muhammad Tariq Hasni,QUETTA,Orthopedic Surgeon,"Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta",Orthopedic Surgeon
Asst. Prof. Dr. Mohammad Aslam Mengal,QUETTA,"Orthopedic Surgeon, Orthopedic Surgeon, Pediatric Orthopedic Surgeon","Tariq Hospital, Saryab Road, Quetta","Orthopedic Surgeon, Orthopedic Surgeon, Pediatric Orthopedic Surgeon"
Dr. Shams Ullah,QUETTA,Orthopedic Surgeon,"Doctors medical camplex, Power House, Chaman",Orthopedic Surgeon
Prof. Dr. Eid Muhammad Mandokhail,QUETTA,"Orthopedic Surgeon, Pain Specialist","Sangeen Khan Hospital, Killi Shaboo, Quetta","Orthopedic Surgeon, Pain Specialist"
Asst. Prof. Dr. K B Umrani,QUETTA,"Orthopedic Surgeon, Orthopedic Surgeon","Nusrat Riaz Hospital, Satellite Town, Quetta","Orthopedic Surgeon, Orthopedic Surgeon"
Asst. Prof. Dr. Muhammad Humayun Hameed,QUETTA,"Orthopedic Surgeon, Pain Specialist","Mid Town Hospital, purana pashin adda, Quetta","Orthopedic Surgeon, Pain Specialist"
Asst. Prof. Dr. Jamil Ahmed Zehri,QUETTA,"Orthopedic Surgeon, Pediatric Orthopedic Surgeon, Spinal Surgeon","Heart And General Hospital, Model Town, Quetta","Orthopedic Surgeon, Pediatric Orthopedic Surgeon, Spinal Surgeon"
Dr. Rizwan Riaz,QUETTA,Pediatrician,"Al Noor Clinic, Toghi Road, Quetta",Pediatrician
Dr. Muhammad Hussain,QUETTA,"Pediatrician, Neonatologist","Doctors Hospital, Quetta City, Quetta","Pediatrician, Neonatologist"
Dr. Mohammad Yousaf Kakar,QUETTA,Pediatrician,"City International Hospital, Zarghon Road, Quetta",Pediatrician
Assoc. Prof. Dr. Muhammad Tahir Zehri,QUETTA,"Pediatrician, Neonatologist","Heart And General Hospital, Model Town, Quetta","Pediatrician, Neonatologist"
Asst. Prof. Dr. Shamsuddin Kakar,QUETTA,Pediatrician,"Akram Hospital, Quetta City, Quetta",Pediatrician
Dr. Ghulam Jelani,QUETTA,Pediatrician,No Address Available,Pediatrician
Dr. Sharaf Ud Din Achakzai,QUETTA,Pediatrician,"Al Sudais Medical Store Hospital, Quetta City, Quetta",Pediatrician
Dr. Paras Shahzad,QUETTA,Pediatrician,"Nagi Children Hospital, Patel Bagh, Quetta",Pediatrician
Dr. Muhammad Ameer,QUETTA,Pediatrician,"Farhah Medical Centre, Quetta City, Quetta",Pediatrician
Dr. Shaukat Ali,QUETTA,Pediatrician,"Health Care and Medical Center, Pir Muhammad Colony, Quetta",Pediatrician
Dr. Hashmat Ullah,QUETTA,Pediatrician,No Address Available,Pediatrician
Dr. Ameer Ali,QUETTA,Pediatrician,No Address Available,Pediatrician
Assoc. Prof. Dr. Suresh Kumar,QUETTA,"Endocrinologist, General Physician, Internal Medicine Specialist","Gillani Hopsital, Satellite Town, Quetta","Endocrinologist, General Physician, Internal Medicine Specialist"
Prof. Dr. Muhammad Nadir Khan,QUETTA,"General Physician, Psychiatrist, Internal Medicine Specialist, Rheumatologist, Diabetologist","Saleem Medical Complex Hospital, Quetta City, Quetta","General Physician, Psychiatrist, Internal Medicine Specialist, Rheumatologist, Diabetologist"
Dr. Muhammad Muddasser Khan Panezai,QUETTA,"Rheumatologist, General Physician, Pain Specialist","Heart And General Hospital, Model Town, Quetta","Rheumatologist, General Physician, Pain Specialist"
Dr. Abdul Aziz,QUETTA,"Endocrinologist, General Physician, Diabetologist","Yaseen Hospital, Quetta City, Quetta","Endocrinologist, General Physician, Diabetologist"
Dr. Sandeep Kumar,QUETTA,"General Physician, Internal Medicine Specialist, Allergy Specialist, Diabetologist","Al Shafa Hospital, Quetta City, Quetta","General Physician, Internal Medicine Specialist, Allergy Specialist, Diabetologist"
Asst. Prof. Dr. Sirajuddin Barech,QUETTA,"General Physician, Internal Medicine Specialist, Infectious Diseases","Dr Ziauddin Hospital Outreach Medical Center, Patel Road, Quetta","General Physician, Internal Medicine Specialist, Infectious Diseases"
Dr. Habib Ullah Mengal,QUETTA,"General Physician, Internal Medicine Specialist, Infectious Diseases, Pain Specialist, Diabetologist","Sajid Hospital, Quetta City, Quetta","General Physician, Internal Medicine Specialist, Infectious Diseases, Pain Specialist, Diabetologist"
Asst. Prof. Dr. Muhammad Arif Khan,QUETTA,"Internal Medicine Specialist, General Physician, Infectious Diseases","National Hospital, Near Quetta Laboratory Prince Road, Quetta","Internal Medicine Specialist, General Physician, Infectious Diseases"
Asst. Prof. Dr. Tahir Khan,QUETTA,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist","Yaseen Hospital, Quetta City, Quetta","Pulmonologist / Lung Specialist, General Physician, Allergy Specialist"
Prof. Dr. Zafrullah Khan,QUETTA,"Endocrinologist, General Physician","Rahat Medical Complex, Quetta City, Quetta","Endocrinologist, General Physician"
Dr. Shair Zaman Kakar,QUETTA,"Endocrinologist, General Physician, Internal Medicine Specialist, Diabetologist",No Address Available,"Endocrinologist, General Physician, Internal Medicine Specialist, Diabetologist"
Dr. Rahmat Ullah,QUETTA,"Endocrinologist, General Physician, Diabetologist","City International Hospital, Zarghon Road, Quetta","Endocrinologist, General Physician, Diabetologist"
Dr. Muhammad Sadiq Kakar,QUETTA,Nephrologist,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",Nephrologist
Asst. Prof. Dr. Syed Mohkum Ud Din,QUETTA,Nephrologist,"Yaseen Hospital, Quetta City, Quetta",Nephrologist
Assoc. Prof. Dr. Syed Liaqat Agha,QUETTA,Nephrologist,"Gillani Hopsital, Satellite Town, Quetta",Nephrologist
Dr. Abdul Malik,QUETTA,Nephrologist,"Time Pharma Saleem Medical Complex, Quetta City, Quetta",Nephrologist
Dr. Naimat Ullah Tareen,QUETTA,"Urologist, Sexologist","City International Hospital, Zarghon Road, Quetta","Urologist, Sexologist"
Dr. Azimullah Asif Goraya,QUETTA,Sexologist,"Dr Azimullah Clinic, G-9, Islamabad",Sexologist
Asst. Prof. Dr. Ikram Ullah Khan,QUETTA,"Ent Surgeon, Ent Specialist","Al Shafi Hospital, Quetta City, Quetta","Ent Surgeon, Ent Specialist"
Dr. Arfat Jawaid,QUETTA,"Ent Surgeon, Ent Specialist","Fc Hospital, Cantt, Quetta","Ent Surgeon, Ent Specialist"
Asst. Prof. Dr. Abdul Bari Kakar,QUETTA,"Eye Surgeon, Eye Specialist","City International Hospital, Zarghon Road, Quetta","Eye Surgeon, Eye Specialist"
Asst. Prof. Dr. Saif Ullah Tareen,QUETTA,"Eye Surgeon, Eye Specialist","Saleem Medical Complex Hospital, Quetta City, Quetta","Eye Surgeon, Eye Specialist"
Dr. Saifullah Nasar,QUETTA,Eye Surgeon,"Saleem Medical Complex Hospital, Quetta City, Quetta",Eye Surgeon
Dr. Muhammad Akram Shahwani,QUETTA,"Eye Surgeon, Eye Specialist","Jilani Hospital, Satellite Town, Quetta","Eye Surgeon, Eye Specialist"
Asst. Prof. Dr. Abdul Samad Panezai,QUETTA,Neuro Surgeon,"Rahat Medical Complex, Quetta City, Quetta",Neuro Surgeon
Dr. Jahanzeb Kakar,QUETTA,"Neuro Surgeon, Neurologist","Akram Hospital, Quetta City, Quetta","Neuro Surgeon, Neurologist"
Asst. Prof. Dr. Alamzeb Khan,QUETTA,"Neuro Surgeon, Neurologist","City International Hospital, Zarghon Road, Quetta","Neuro Surgeon, Neurologist"
Dr. Nasrullah Langove,QUETTA,"Neuro Surgeon, Neurologist","Gillani Hopsital, Satellite Town, Quetta","Neuro Surgeon, Neurologist"
Dr. Muhammad Shoaib Kibzai,QUETTA,"Neuro Surgeon, Neurologist","Sultan Tareen Health Care &amp; Transplant Institute, Zarghun Road, Quetta","Neuro Surgeon, Neurologist"
Assoc. Prof. Dr. Sarfraz Ahmed,QUETTA,Neuro Surgeon,"Saleem Medical Complex Hospital, Quetta City, Quetta",Neuro Surgeon
Asst. Prof. Dr. Mahmood Khan Kibzai,QUETTA,"Neuro Surgeon, Spinal Surgeon","Yaseen Hospital, Quetta City, Quetta","Neuro Surgeon, Spinal Surgeon"
Prof. Dr. Raz Muhammad Kakar,QUETTA,"Neuro Surgeon, Neurologist","Doctors Hospital, Quetta City, Quetta","Neuro Surgeon, Neurologist"
Asst. Prof. Dr. Tariq Mahmood Irshad,QUETTA,Neuro Surgeon,"Cmh Quetta Hospital, Cantt, Quetta",Neuro Surgeon
Asst. Prof. Dr. Noor Ahmed Mugheri,QUETTA,Neuro Surgeon,"Saleem Medical Complex Hospital, Quetta City, Quetta",Neuro Surgeon
Dr. Hafiz Muhammad Ahmad Shahzeb,ABBOTTABAD,Dermatologist,No Address Available,Dermatologist
Dr. Zahid Hassan,ABBOTTABAD,Neurologist,"IDC- ABBOTABAD, ground floor, Abbottabad",Neurologist
Dr. Ibrahim Awan,ABBOTTABAD,"Neonatologist, Neurologist",No Address Available,"Neonatologist, Neurologist"
Dr. Atifa Gilani,ABBOTTABAD,Neurologist,"Valley Medical Complex Hospital, Musa Zai Colony, Abbottabad",Neurologist
Dr. Ahsan Naveed,ABBOTTABAD,Neurologist,"Ahsan Naveed Clinic, Mandian, Abbottabad",Neurologist
Asst. Prof. Dr. Shandana Mustafa Jadoon,ABBOTTABAD,Gynecologist,"Al-Syed Hospital, Abbottabad, Abbottabad",Gynecologist
Asst. Prof. Dr. Maj R Asiya Yaqoob,ABBOTTABAD,Gynecologist,"Maj R Dr. Asiya Yaqoob Infertility Clinic, Abbottabad, Abbottabad",Gynecologist
Dr. Farah Khan,ABBOTTABAD,Gynecologist,"Zaitoon Medical Center, Near DHQ hospital, Abbottabad",Gynecologist
Dr. Yasmin Akhtar,ABBOTTABAD,Gynecologist,"IDC Abbot, , Manshera Road, Abbottabad, Abbottabad",Gynecologist
Dr. Sidra Fatima,ABBOTTABAD,Gynecologist,No Address Available,Gynecologist
Asst. Prof. Dr. Bushra Rashid,ABBOTTABAD,Gynecologist,"Shafiq Plaza (Doctors Plaza), Mandian, Abbottabad",Gynecologist
Prof. Dr. Zahida Perveen,ABBOTTABAD,Gynecologist,"Zahida Perveen Clinic, Al Mansoor Town, Abbottabad",Gynecologist
Prof. Dr. Rubina Bashir,ABBOTTABAD,Gynecologist,"Sami Medical Centre, Khyber Pakhtunkhwa, Abbottabad",Gynecologist
Dr. Nadia Khan Jawad,ABBOTTABAD,Gynecologist,"Allied Specialist Clinics, , Manshera Road, Abbottabad, Abbottabad",Gynecologist
Asst. Prof. Dr. Humaira Jadoon,ABBOTTABAD,Gynecologist,"Humaira Jadoon Clinic, Mandian, Abbottabad",Gynecologist
Dr. Ansa Islam,ABBOTTABAD,Gynecologist,"Ansa Islam Clinic, Mandian, Abbottabad",Gynecologist
Prof. Dr. Rahat-un-nisa,ABBOTTABAD,Gynecologist,"Awan Medical Centre, Mandian, Abbottabad",Gynecologist
Asst. Prof. Dr. Muhammad Shahzad,ABBOTTABAD,"Urologist, Sexologist, Andrologist","Shafiq Medical Centre, Abbottabad, Abbottabad","Urologist, Sexologist, Andrologist"
Asst. Prof. Dr. Nasir Jameel,ABBOTTABAD,Urologist,"Shafiq Medical Centre, Abbottabad, Abbottabad",Urologist
Prof. Dr. Syed Atta Ullah Shah Bukhari,ABBOTTABAD,Urologist,"Shafiq Medical Centre, Abbottabad, Abbottabad",Urologist
Prof. Dr. Raza Muhammad Khan,ABBOTTABAD,Urologist,"Awan Medical Centre, Mandian, Abbottabad",Urologist
Asst. Prof. Dr. Faheem Ul Haq,ABBOTTABAD,"Urologist, Andrologist, Sexologist","Kidney Care Center Abbottabad, , Manshera Road, Abbottabad, Abbottabad","Urologist, Andrologist, Sexologist"
Dr. Hafizullah Khan,ABBOTTABAD,Gastroenterologist,"Shafiq Plaza (Doctors Plaza), Mandian, Abbottabad",Gastroenterologist
Asst. Prof. Dr. Syeda Anam Noor Kazmi,ABBOTTABAD,Gastroenterologist,"Zaitoon Medical Center, Near DHQ hospital, Abbottabad",Gastroenterologist
Asst. Prof. Dr. Mati Ullah Khan,ABBOTTABAD,Gastroenterologist,"Mati Ullah Khan Clinic, Kehal, Abbottabad",Gastroenterologist
Asst. Prof. Dr. Mohammad Yasin,ABBOTTABAD,Pulmonologist / Lung Specialist,"Allied Specialist Clinics, , Manshera Road, Abbottabad, Abbottabad",Pulmonologist / Lung Specialist
Prof. Dr. Abdur Rab Khan,ABBOTTABAD,Pulmonologist / Lung Specialist,"Shafiq Medical Centre, Abbottabad, Abbottabad",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Amir Suleman,ABBOTTABAD,Pulmonologist / Lung Specialist,"Shafiq Medical Centre, Abbottabad, Abbottabad",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Muhammad Ali Usman,ABBOTTABAD,Orthopedic Surgeon,"Abbottabad International Medical Institute, N-35 Abbottabad, Khyber, Abbottabad",Orthopedic Surgeon
Asst. Prof. Dr. Muhammad Basharat,ABBOTTABAD,Orthopedic Surgeon,"Yahya Hospital Haripur, Abbottabad Rd, Haripur",Orthopedic Surgeon
Dr. Abdus Saboor Awan,ABBOTTABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Zia Ud Din Khan,ABBOTTABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Shahid Sultan,ABBOTTABAD,Orthopedic Surgeon,"Shafiq Medical Centre, Abbottabad, Abbottabad",Orthopedic Surgeon
Asst. Prof. Dr. Muhammad Usman,ABBOTTABAD,Orthopedic Surgeon,"Valley Medical Complex Hospital, Musa Zai Colony, Abbottabad",Orthopedic Surgeon
Asst. Prof. Dr. Azhar Azeem Khattak,ABBOTTABAD,Orthopedic Surgeon,"Shafiq Medical Centre, Abbottabad, Abbottabad",Orthopedic Surgeon
Dr. Nazir Ahmed,ABBOTTABAD,Orthopedic Surgeon,"Awan Medical Centre, Mandian, Abbottabad",Orthopedic Surgeon
Assoc. Prof. Dr. Naeem-ur-razzaq Durrani,ABBOTTABAD,Orthopedic Surgeon,"Awan Medical Centre, Mandian, Abbottabad",Orthopedic Surgeon
Asst. Prof. Dr. Adnan Anwer,ABBOTTABAD,Orthopedic Surgeon,"Cmh Abbottabad Hospital, Cantt, Abbottabad",Orthopedic Surgeon
Dr. Ammara Khalid,ABBOTTABAD,Pediatrician,No Address Available,Pediatrician
Dr. Najam Siddiqui,ABBOTTABAD,Pediatrician,"Allama Iqbal Hospital Haripur, Harbor, Haripur",Pediatrician
Dr. Amal Hasham,ABBOTTABAD,Pediatrician,No Address Available,Pediatrician
Dr. Khawaja Naveed Noor,ABBOTTABAD,Pediatrician,No Address Available,Pediatrician
Dr. Ifnan Shamraiz,ABBOTTABAD,Pediatrician,No Address Available,Pediatrician
Prof. Dr. Mumtaz Barki,ABBOTTABAD,Pediatrician,"Shafiq Medical Centre, Abbottabad, Abbottabad",Pediatrician
Dr. Hizb Ullah Gandapur,ABBOTTABAD,Pediatrician,"Hizb Ullah Gandapur Clinic, Kehal, Abbottabad",Pediatrician
Assoc. Prof. Dr. Tahir Saeed Siddiqi,ABBOTTABAD,Pediatrician,"Awan Medical Centre, Mandian, Abbottabad",Pediatrician
Dr. Areeba Rehman,ABBOTTABAD,General Physician,"Allied Specialist Clinics, , Manshera Road, Abbottabad, Abbottabad",General Physician
Dr. Kafeel Ur Rehman,ABBOTTABAD,General Surgeon,No Address Available,General Surgeon
Dr. Zulfiqar Ahmed,ABBOTTABAD,"Endocrinologist, General Physician",No Address Available,"Endocrinologist, General Physician"
Asst. Prof. Dr. Nighat Jamal,ABBOTTABAD,"Internal Medicine Specialist, General Physician",No Address Available,"Internal Medicine Specialist, General Physician"
Dr. Ayesha Asad,ABBOTTABAD,General Physician,No Address Available,General Physician
Dr. Hafsa Nazir,ABBOTTABAD,General Physician,No Address Available,General Physician
Dr. Muhammad Hamid,ABBOTTABAD,General Physician,No Address Available,General Physician
Dr. Murad Ali,ABBOTTABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Mahnoor,ABBOTTABAD,General Physician,No Address Available,General Physician
Dr. Aleena Ashraf,ABBOTTABAD,General Physician,"Ayub Teaching Hospital, Mandian, Abbottabad",General Physician
Dr. Aman Ullah,ABBOTTABAD,General Physician,No Address Available,General Physician
Dr. Maryam Farid Janjuah,ABBOTTABAD,Gynecologist,No Address Available,Gynecologist
Dr. Wahaj,ABBOTTABAD,Nephrologist,"Lifecare Hospital, Mansehra Road, Abbottabad",Nephrologist
Asst. Prof. Dr. Muhammad Shahzad,ABBOTTABAD,"Urologist, Sexologist, Andrologist","Shafiq Medical Centre, Abbottabad, Abbottabad","Urologist, Sexologist, Andrologist"
Asst. Prof. Dr. Faheem Ul Haq,ABBOTTABAD,"Urologist, Andrologist, Sexologist","Kidney Care Center Abbottabad, , Manshera Road, Abbottabad, Abbottabad","Urologist, Andrologist, Sexologist"
