Name,City,Specialization,Hospital,description 
Dr. Mashood Zia,TAXILA,"Urologist, Sexologist","Islamabad International Hospital &amp; Research Center, Sector E, Islamabad","Urologist, Sexologist"
Prof. Dr. Brig Nazir Ahmed Malik R,TAXILA,Pediatrician,"Al Ihsan Hospital, Near Mureer Chowk? 142 Murree Rd, Saddar, Rawalpindi, Rawalpindi",Pediatrician
Dr. Ali Farhan Abid,TAXILA,Pediatrician,"Hit-Hospital, Goal Market, Taxila",Pediatrician
Dr. Shamaila Irfan,TAXILA,General Physician,No Address Available,General Physician
Dr. Sehrish Khan,TAXILA,General Physician,No Address Available,General Physician
Dr. Mashood Zia,TAXILA,"Urologist, Sexologist","Islamabad International Hospital &amp; Research Center, Sector E, Islamabad","Urologist, Sexologist"
Dr. Arsalan Saeed,THATTA,Pediatrician,"Ali Akbar Memorial Hospital, Gharo, Thatta",Pediatrician
Dr. Muneer Ahmed,THATTA,General Physician,"Al-Shifa Clinic, Marwari Lines Saddar, Karachi",General Physician
Dr. Erum,THATTA,General Physician,No Address Available,General Physician
Dr. Fiza Taj,THATTA,General Physician,No Address Available,General Physician
Asst. Prof. Dr. Muhammad Kabir,TIMERGARA,Gastroenterologist,"Al Sehat Medical Complex (Timergara), Opposite DHQ Hospital, Timergara",Gastroenterologist
Dr. Yaad Zaman,TIMERGARA,Orthopedic Surgeon,"Imran Hospital, N-45, Timergara, Lower Dir, Khyber Pakhtunkhwa, Timergara",Orthopedic Surgeon
Dr. Sardar Hussain,TIMERGARA,Orthopedic Surgeon,"Imran Hospital, N-45, Timergara, Lower Dir, Khyber Pakhtunkhwa, Timergara",Orthopedic Surgeon
Dr. Umer Hussain,TIMERGARA,Pediatrician,No Address Available,Pediatrician
Dr. Said Nawaz,TIMERGARA,General Physician,"Maa Foundation hosptal,, Timergara, Lower Dir, Khyber Pakhtunkhwa, Timergara",General Physician
Dr. Nida Dastgeer,TOBA-TEK-SINGH,Gynecologist,No Address Available,Gynecologist
Dr. Rubba Batool,TOBA-TEK-SINGH,Gynecologist,No Address Available,Gynecologist
Dr. Muhammad Irfan Rashed,TOBA-TEK-SINGH,Gastroenterologist,"Alkhidmat Medical center, Pur chock, Toba Tek Singh",Gastroenterologist
Dr. Ayesha Tariq,TOBA-TEK-SINGH,Pediatrician,"Rameen Medical Complex, Rajana Road, Toba Tek Singh",Pediatrician
Dr. Muhammad Amjad,TOBA-TEK-SINGH,Pediatrician,No Address Available,Pediatrician
Dr. Nafees Razzaq Choudhry,TOBA-TEK-SINGH,General Physician,No Address Available,General Physician
Dr. Qaisar Farooq,TOBA-TEK-SINGH,General Physician,No Address Available,General Physician
Dr. Sadia Nadeem,TOBA-TEK-SINGH,General Physician,"Doctor Sadia Nadeem Ultrasound Center, punjab, Toba Tek Singh",General Physician
Dr. Mian Awais,TOBA-TEK-SINGH,"Neuro Surgeon, Spinal Surgeon","Saad Medicare Clinic, Rajana Road, Toba Tek Singh","Neuro Surgeon, Spinal Surgeon"
Dr. Habib Rasheed,TURBAT,Dermatologist,"National Medical Center, Turbat KECH, Turbat",Dermatologist
Asst. Prof. Dr. Syeda Khalida Yousaf,TURBAT,Gynecologist,"AlShifa Clinic, Turbat KECH, Turbat",Gynecologist
Asst. Prof. Dr. Shahzaib Riaz,TURBAT,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Asst. Prof. Dr. Adil Hassan Chang,UMARKOT,Gastroenterologist,"Royal luxuria Advance mri and diagnostic center, Sindh, Hyderabad",Gastroenterologist
Dr. Jaswant Dan Charan,UMARKOT,General Physician,"Al Abbas Maleer Medical Centre, Umerkot Road, Umarkot",General Physician
Dr. Sadaf Tahir,VEHARI,Neurologist,No Address Available,Neurologist
Dr. Asif Khan Chachak,VEHARI,Pediatrician,"Moosa medical complex, Vehari, Vehari",Pediatrician
Dr. Javaria Malik,VEHARI,Pediatrician,No Address Available,Pediatrician
Dr. Muhammad Ahmad Shafiq,VEHARI,General Physician,"Smile Dental &amp; Medical Complex, Mailsi, Vehari",General Physician
Dr. Ayesha Tahir,VEHARI,General Physician,No Address Available,General Physician
Dr. Muhammad Sabir,VEHARI,General Physician,No Address Available,General Physician
Dr. Abdul Majid,VEHARI,General Physician,No Address Available,General Physician
Dr. Muhammad Asad Ashfaq,VEHARI,General Physician,No Address Available,General Physician
Dr. Basim Ali,VEHARI,Cardiologist,No Address Available,Cardiologist
Dr. Muhammad Abubakar,VEHARI,General Physician,"Dhq Vehari Hospital, Hasilpur Rd, Vehari",General Physician
Dr. Usama Khalid,VEHARI,Ent Specialist,"Dr. Usama Khalid ENT Clinic, Near DHQ hospital, Vehari",Ent Specialist
Asst. Prof. Dr. Shahnawaz Khan,VEHARI,Neuro Surgeon,No Address Available,Neuro Surgeon
Dr. Ruqqaiya Azhar,WAH-CANTT,Gynecologist,"The care clinic, Sir Sayyed Road, Wah Cantt",Gynecologist
Dr. Farha Javaid,WAH-CANTT,Gynecologist,"Dr Farha Javaid Clinics DFJ CLINICS, Wah Cantt, Rawalpindi",Gynecologist
Dr. Sidra Shaukat,WAH-CANTT,Gynecologist,"Alain Hospital, Jinnah Colony, Wah Cantt",Gynecologist
Dr. Romina Kanwal,WAH-CANTT,Gynecologist,"Shamshad Aslam Hospital, Shah Wali Colony, Wah Cantt",Gynecologist
